PROVIDER_NAME,STATE,MONTH,TOTAL_NURSE_HOURS,TOTAL_PATIENT_DAYS,NURSE_HOURS_TO_PATIENT_RATIO
BEACON HILL,TX,1970-08,345.22,92,3.75
THE WESLEYAN SKILLED NURSING AND REHABILITATION,TX,1970-08,306.67,82,3.74
DIBOLL NURSING AND REHAB,TX,1970-08,134.74,36,3.74
GRACE POINTE WELLNESS CENTER,TX,1970-08,261.87,70,3.74
THE BRAZOS OF WACO,TX,1970-08,232.09,62,3.74
EL PASO HEALTH & REHABILITATION CENTER,TX,1970-08,287.7,77,3.74
LAWRENCE STREET HEALTH CARE CENTER,TX,1970-08,253.75,68,3.73
SIGNATURE POINTE,TX,1970-08,321.17,86,3.73
SHINER NURSING AND REHABILITATION CENTER INC,TX,1970-08,167.59,45,3.72
PARKS HEALTH CENTER,TX,1970-08,189.47,51,3.72
CASCADES AT PORT ARTHUR,TX,1970-08,334.72,90,3.72
WINDSOR PLACE,TX,1970-08,227.04,61,3.72
LEGEND OAKS HEALTHCARE AND REHABILITATION CENTER -,TX,1970-08,413.39,111,3.72
ANDERSON NURSING CENTER,TX,1970-08,118.98,32,3.72
SUMMIT NURSING & REHAB OF SAN AUGUSTINE,TX,1970-08,148.75,40,3.72
MIRADOR,TX,1970-08,126.43,34,3.72
OAKMONT HEALTHCARE AND REHABILITATION CENTER OF HU,TX,1970-08,211.3,57,3.71
PARK MANOR OF HUMBLE,TX,1970-08,300.8,81,3.71
ADVANCED REHABILITATION AND HEALTHCARE OF WICHITA,TX,1970-08,619.69,167,3.71
ENCHANTED ROCK SKILLED NURSING AND REHABILITATION,TX,1970-08,233.59,63,3.71
WHEELER NURSING & REHABILITATION,TX,1970-08,114.91,31,3.71
SHARPVIEW RESIDENCE AND REHABILITATION CENTER,TX,1970-08,311.5,84,3.71
THE MANOR HEALTHCARE RESIDENCE,TX,1970-08,163.17,44,3.71
KPC PROMISE SKILLED NURSING FACILITY OF WICHITA FA,TX,1970-08,137.17,37,3.71
BIRCHWOOD OF GRAPEVINE,TX,1970-08,315.09,85,3.71
HIGHLAND MEADOWS HEALTH & REHAB,TX,1970-08,425.78,115,3.7
ENNIS CARE CENTER,TX,1970-08,277.44,75,3.7
THE ARBORS HEALTHCARE AND REHABILITATION CENTER,TX,1970-08,162.89,44,3.7
KINGSLAND HILLS CARE CENTER,TX,1970-08,262.79,71,3.7
LANDMARK OF PLANO REHABILITATION AND NURSING CENTE,TX,1970-08,188.31,51,3.69
CEDAR HOLLOW REHABILITATION CENTER,TX,1970-08,313.65,85,3.69
SEABREEZE NURSING AND REHABILITATION,TX,1970-08,265.7,72,3.69
HARMONEE HOUSE,TX,1970-08,88.59,24,3.69
PRAIRIE ESTATES,TX,1970-08,550.28,149,3.69
FAIRVIEW HEALTHCARE RESIDENCE,TX,1970-08,147.25,40,3.68
PARK VIEW CARE CENTER,TX,1970-08,507.81,138,3.68
RIDGECREST RETIREMENT AND HEALTHCARE COMMUNITY,TX,1970-08,191.32,52,3.68
NORTH HOUSTON TRANSITIONAL CARE,TX,1970-08,246.28,67,3.68
PARK PLACE MANOR,TX,1970-08,246.33,67,3.68
VILLAGES OF LAKE HIGHLANDS,TX,1970-08,404.83,110,3.68
THE BRIXTON AT HORSESHOE BAY,TX,1970-08,275.64,75,3.68
WOOLDRIDGE PLACE NURSING CENTER,TX,1970-08,198.2,54,3.67
SIMPSON PLACE,TX,1970-08,132.15,36,3.67
CORYELL HEALTH REHABLIVING AT THE MEADOWS,TX,1970-08,370.41,101,3.67
AZALEA TRAIL NURSING AND REHABILITATION CENTER,TX,1970-08,176.3,48,3.67
THE MADISON ON MARSH,TX,1970-08,266.84,73,3.66
LAS BRISAS REHABILITATION AND WELLNESS SUITES,TX,1970-08,245.44,67,3.66
TRUCARE LIVING CENTERS,TX,1970-08,303.75,83,3.66
CARADAY OF FT. WORTH,TX,1970-08,285.53,78,3.66
LAREDO SOUTH NURSING AND REHABILITATION CENTER,TX,1970-08,240.75,66,3.65
WESTPARK REHABILITATION AND LIVING,TX,1970-08,273.49,75,3.65
CREEKSIDE VILLAGE,TX,1970-08,211.9,58,3.65
TWILIGHT HOME,TX,1970-08,236.67,65,3.64
FALCON POINT POST ACUTE,TX,1970-08,353.21,97,3.64
THE LEV AT SAN ANTONIO,TX,1970-08,247.19,68,3.64
ADVANCED REHABILITATION & HEALTHCARE OF LIVE OAK,TX,1970-08,379.02,104,3.64
OAKMONT HEALTHCARE AND REHABILITATION CENTER OF KA,TX,1970-08,258.4,71,3.64
MONAHANS MANAGED CARE CENTER,TX,1970-08,167.5,46,3.64
WINDSOR NURSING AND REHABILITATION CENTER OF ALICE,TX,1970-08,207.04,57,3.63
STONECREEK NURSING & REHABILITATION,TX,1970-08,195.98,54,3.63
FT WORTH SOUTHWEST NURSING CENTER,TX,1970-08,474.93,131,3.63
LAKESIDE HEALTH AND WELLNESS,TX,1970-08,206.8,57,3.63
REMINGTON TRANSITIONAL CARE OF RICHARDSON,TX,1970-08,225.34,62,3.63
RIVERVIEW NURSING & REHABILITATION,TX,1970-08,239.5,66,3.63
TRANS-PECOS NURSING & REHABILITATION,TX,1970-08,152.5,42,3.63
SPJST REST HOME 1,TX,1970-08,308.93,85,3.63
EBONY LAKE NURSING AND REHABILITATION CENTER,TX,1970-08,286.7,79,3.63
CRESTWOOD HEALTH AND REHABILITATION CENTER,TX,1970-08,227.88,63,3.62
TEAGUE NURSING AND REHABILITATION,TX,1970-08,123.13,34,3.62
CORPUS CHRISTI NURSING AND REHABILITATION CENTER,TX,1970-08,358.64,99,3.62
WINNIE L LTC PARTNERS INC,TX,1970-08,148.42,41,3.62
CORAL REHABILITATION AND NURSING OF AUSTIN,TX,1970-08,250,69,3.62
MADISON MEDICAL RESORT,TX,1970-08,422,117,3.61
PARK HIGHLANDS NURSING & REHABILITATION CENTER,TX,1970-08,212.96,59,3.61
WHISPERING PINES NURSING AND REHAB,TX,1970-08,234.66,65,3.61
THE VILLA AT TEXARKANA,TX,1970-08,339.45,94,3.61
THE WOODLANDS HEALTHCARE CENTER,TX,1970-08,545.02,151,3.61
GARDEN TERRACE ALZHEIMER'S CENTER OF EXCELLENCE,TX,1970-08,133.67,37,3.61
PARK MANOR OF QUAIL VALLEY,TX,1970-08,375.5,104,3.61
PINECREST RETIREMENT COMMUNITY,TX,1970-08,169.51,47,3.61
EDGEWOOD MANOR,TX,1970-08,180.72,50,3.61
THE HILLTOP ON MAIN,TX,1970-08,104.5,29,3.6
ALAMEDA OAKS NURSING CENTER,TX,1970-08,161.98,45,3.6
THE HILLCREST OF NORTH DALLAS,TX,1970-08,366.72,102,3.6
TIMBERWOOD NURSING AND REHABILITATION CENTER,TX,1970-08,301.47,84,3.59
ROLLINGBROOK REHABILITATION AND HEALTHCARE CENTER,TX,1970-08,309.01,86,3.59
THE HEIGHTS OF BULVERDE,TX,1970-08,312.22,87,3.59
EVERGREEN HEALTHCARE CENTER,TX,1970-08,125.67,35,3.59
BRUSH COUNTRY NURSING AND REHABILITATION,TX,1970-08,287.3,80,3.59
THE COLONNADES AT REFLECTION BAY,TX,1970-08,632.47,176,3.59
MASON CREEK TRANSITIONAL CARE OF KATY,TX,1970-08,323.27,90,3.59
WEST JANISCH HEALTH CARE CENTER,TX,1970-08,230,64,3.59
WINDSOR ATRIUM,TX,1970-08,322.66,90,3.59
MONT BELVIEU REHABILITATION & HEALTHCARE CENTER,TX,1970-08,359.15,100,3.59
BORGER HEALTHCARE CENTER,TX,1970-08,125.51,35,3.59
SAN PEDRO MANOR,TX,1970-08,276.27,77,3.59
THE ENCLAVE,TX,1970-08,444.55,124,3.59
FIVE POINTS AT LAKE HIGHLANDS NURSING AND REHAB,TX,1970-08,576.16,161,3.58
TRAIL LAKE NURSING & REHABILITATION,TX,1970-08,243.1,68,3.58
COUNTRY VILLAGE CARE,TX,1970-08,379.34,106,3.58
BAYBROOKE VILLAGE CARE AND REHAB CENTER,TX,1970-08,322.58,90,3.58
THE TERRACE AT DENISON,TX,1970-08,171.94,48,3.58
RANGER CARE CENTER,TX,1970-08,121.78,34,3.58
JOHN PAUL II NURSING HOME,TX,1970-08,128.72,36,3.58
CISCO NURSING & REHABILITATION,TX,1970-08,125.25,35,3.58
GROVETON NURSING HOME,TX,1970-08,107,30,3.57
MEMEMORIAL CITY NURSING AND REHABILITATION CENTER,TX,1970-08,443.17,124,3.57
BRENTWOOD TERRACE HEALTHCARE AND REHABILITATION,TX,1970-08,263.82,74,3.57
STEPHENVILLE NURSING AND REHABILITATION,TX,1970-08,125.05,35,3.57
CARRIAGE HOUSE MANOR,TX,1970-08,303.06,85,3.57
BIRCHWOOD OF GOLFCREST,TX,1970-08,449,126,3.56
CRESTVIEW COURT,TX,1970-08,306.53,86,3.56
BRIARCLIFF NURSING AND REHABILITATION CENTER,TX,1970-08,533.29,150,3.56
BIRCHWOOD NURSING AND REHABILITATION,TX,1970-08,163.78,46,3.56
MERIDIAN CARE OF HEBBRONVILLE,TX,1970-08,127.75,36,3.55
WALNUT PLACE,TX,1970-08,322.98,91,3.55
CHRISTIAN CARE CENTER,TX,1970-08,255.6,72,3.55
WILLOW REHAB & NURSING,TX,1970-08,333.74,94,3.55
CUERO NURSING AND REHABILITATION CENTER,TX,1970-08,262.59,74,3.55
CORINTH REHABILITATION SUITES ON THE PARKWAY,TX,1970-08,227.24,64,3.55
DENTON REHABILITATION AND NURSING CENTER,TX,1970-08,251.75,71,3.55
UVALDE HEALTHCARE AND REHABILITATION CENTER,TX,1970-08,181.06,51,3.55
BEAUMONT NURSING AND REHABILITATION,TX,1970-08,166.2,47,3.54
RICHMOND HEALTH CARE CENTER,TX,1970-08,170,48,3.54
HUNTINGTON HEALTH CARE & REHABILITATION CENTER,TX,1970-08,247.59,70,3.54
WINDSOR NURSING AND REHABILITATION CENTER OF HARLI,TX,1970-08,389.12,110,3.54
ST JAMES HOUSE OF BAYTOWN,TX,1970-08,336.66,95,3.54
SAN JOSE NURSING CENTER,TX,1970-08,127.27,36,3.54
WEDGEWOOD NURSING HOME,TX,1970-08,272.5,77,3.54
WINDSOR QUAIL VALLEY POST-ACUTE HEALTHCARE,TX,1970-08,346.59,98,3.54
TRAYMORE NURSING CENTER,TX,1970-08,339.75,96,3.54
MEXIA LTC NURSING AND REHABILITATION,TX,1970-08,162.46,46,3.53
BRIGHTON SENIOR LIVING AT REGENCY VILLAGE,TX,1970-08,246.87,70,3.53
"SEVEN ACRES JEWISH SENIOR CARE SERVICES, INC",TX,1970-08,271.44,77,3.53
CANTON OAKS,TX,1970-08,257.38,73,3.53
BERTRAM NURSING AND REHABILITATION,TX,1970-08,155.47,44,3.53
ARLINGTON HEIGHTS HEALTH AND REHABILITATION CENTER,TX,1970-08,402.88,114,3.53
MOUNTAIN VIEW HEALTH & REHABILITATION,TX,1970-08,426.32,121,3.52
SHADY OAK NURSING AND REHABILITATION,TX,1970-08,98.58,28,3.52
HOUSTON TRANSITIONAL CARE,TX,1970-08,228.67,65,3.52
MARINE CREEK NURSING AND REHABILITATION,TX,1970-08,464.16,132,3.52
GARLAND NURSING AND REHABILITATION,TX,1970-08,236.05,67,3.52
TREEMONT HEALTHCARE AND REHABILITATION CENTER,TX,1970-08,285.03,81,3.52
HOLLYMEAD,TX,1970-08,331.29,94,3.52
HOLIDAY HILL INC,TX,1970-08,204.25,58,3.52
CARTHAGE HEALTHCARE CENTER,TX,1970-08,157.86,45,3.51
COON MEMORIAL HOME,TX,1970-08,154.47,44,3.51
COLEMAN HEALTHCARE CENTER,TX,1970-08,98.17,28,3.51
SUGAR LAND HEALTH CARE CENTER,TX,1970-08,319,91,3.51
HERITAGE HOUSE AT KELLER REHAB & NURSING,TX,1970-08,417.12,119,3.51
WINCHESTER LODGE HEALTHCARE CENTER,TX,1970-08,263.16,75,3.51
LAREDO WEST NURSING AND REHABILITATION CENTER,TX,1970-08,411.09,117,3.51
MIDWESTERN HEALTHCARE CENTER,TX,1970-08,224.72,64,3.51
CREEKSIDE TERRACE REHABILITATION,TX,1970-08,369.07,105,3.51
RIVERWOOD HEALTHCARE,TX,1970-08,196.51,56,3.51
THE PHOENIX POST-ACUTE,TX,1970-08,367.3,105,3.5
LEGEND OAKS HEALTHCARE AND REHABILITATION - FORT,TX,1970-08,342.7,98,3.5
BURLESON MANOR,TX,1970-08,156.93,45,3.49
MESA HILLS POST ACUTE,TX,1970-08,304,87,3.49
BRIARCLIFF SKILLED NURSING FACILITY,TX,1970-08,262.1,75,3.49
GREEN VALLEY HEALTHCARE AND REHABILITATION CENTER,TX,1970-08,356.08,102,3.49
WINDSOR NURSING AND REHABILITATION CENTER OF MCALL,TX,1970-08,254.73,73,3.49
AMARILLO CENTER FOR SKILLED CARE,TX,1970-08,248.05,71,3.49
VINTAGE HEALTH CARE CENTER,TX,1970-08,230.42,66,3.49
WINDSOR REHABILITATION AND HEALTHCARE,TX,1970-08,279.14,80,3.49
SONTERRA HEALTH CENTER,TX,1970-08,320.65,92,3.49
COUNTRY TRAILS WELLNESS & REHABILITATION CENTER,TX,1970-08,233.87,67,3.49
CORAL REHABILITATION AND NURSING OF MCGREGOR,TX,1970-08,230.38,66,3.49
WILLOW CREEK LODGE,TX,1970-08,305.92,88,3.48
MERIDIAN CARE MONTE VISTA,TX,1970-08,205.5,59,3.48
WESLACO NURSING AND REHABILITATION CENTER,TX,1970-08,379.2,109,3.48
KRUSE VILLAGE SENIOR LIVING COMMUNITY,TX,1970-08,194.7,56,3.48
LINDALE SPECIALTY CARE CENTER,TX,1970-08,302.75,87,3.48
BLUEBONNET NURSING AND REHABILITATION,TX,1970-08,142.54,41,3.48
RETAMA MANOR NURSING CENTER/JOURDANTON,TX,1970-08,139.12,40,3.48
NAVASOTA NURSING & REHABILITATION,TX,1970-08,219.53,63,3.48
ASHFORD GARDENS,TX,1970-08,429.97,124,3.47
THE PAVILION AT CREEKWOOD,TX,1970-08,329.91,95,3.47
COLLINWOOD NURSING AND REHABILITATION,TX,1970-08,229,66,3.47
TOWN EAST REHABILITATION AND HEALTHCARE CENTER,TX,1970-08,312.7,90,3.47
UNIVERSITY REHABILITATION CENTER,TX,1970-08,291.16,84,3.47
LINDAN PARK CARE CENTER LP,TX,1970-08,243,70,3.47
TOWN AND COUNTRY NURSING AND REHABILITATION CENTER,TX,1970-08,325.71,94,3.47
WESLEY WOODS HEALTH & REHABILITATION,TX,1970-08,384.23,111,3.46
MCALLEN TRANSITIONAL CARE CENTER,TX,1970-08,293.89,85,3.46
TRUCARE LIVING CENTERS-COLUMBUS,TX,1970-08,224.67,65,3.46
THE CRESCENT,TX,1970-08,325.2,94,3.46
LEGEND OAKS HEALTHCARE AND REHABILITATION - WEST S,TX,1970-08,352.66,102,3.46
VISTA HILLS HEALTH CARE CENTER,TX,1970-08,304.59,88,3.46
NORTH PARK HEALTH AND REHABILITATION CENTER,TX,1970-08,286.81,83,3.46
WINDCREST HEALTH & REHABILITATION,TX,1970-08,376.64,109,3.46
RENAISSANCE REHABILITATION AND HEALTHCARE CENTER,TX,1970-08,200.22,58,3.45
GRACY WOODS NURSING CENTER,TX,1970-08,317.5,92,3.45
LARKSPUR,TX,1970-08,290.06,84,3.45
VILLA HAVEN HEALTH AND REHABILITATION CENTER,TX,1970-08,96.62,28,3.45
GLEN ROSE NURSING AND REHAB CENTER,TX,1970-08,283.25,82,3.45
REUNION PLAZA SENIOR CARE AND REHABILITATION CENTE,TX,1970-08,320.85,93,3.45
SENIOR CARE OF CORPUS CHRISTI,TX,1970-08,324.25,94,3.45
THE BRADFORD AT BROOKSIDE,TX,1970-08,258.69,75,3.45
SILVER SPRING,TX,1970-08,203.45,59,3.45
MESA VISTA INN HEALTH CENTER,TX,1970-08,331.22,96,3.45
SUMMER MEADOWS,TX,1970-08,227.18,66,3.44
PARK PLACE NURSING & REHABILITATION CENTER,TX,1970-08,309.35,90,3.44
WINDSOR NURSING AND REHABILITATION CENTER OF RAYMO,TX,1970-08,206.33,60,3.44
PARK BEND REHABILITATION AND HEALTHCARE CENTER,TX,1970-08,309.37,90,3.44
BURLESON NURSING AND REHABILITATION CENTER,TX,1970-08,209.8,61,3.44
KENT COUNTY NURSING HOME,TX,1970-08,130.75,38,3.44
CHISOLM TRAIL NURSING AND REHABILITATION CENTER,TX,1970-08,247.51,72,3.44
PARK VALLEY INN HEALTH CENTER,TX,1970-08,363.31,106,3.43
HUNTERS POND REHABILITATION AND HEALTHCARE,TX,1970-08,384.72,112,3.43
SAN ANGELO NURSING AND REHAB,TX,1970-08,312.16,91,3.43
CITY OF ENNIS DBA BROADMOOR MEDICAL LODGE,TX,1970-08,257.27,75,3.43
THE MEDICAL RESORT AT BAY AREA,TX,1970-08,82.21,24,3.43
MCKINNEY HEALTHCARE AND REHABILITATION CENTER,TX,1970-08,274.21,80,3.43
UNIVERSITY PARK NURSING AND REHABILITATION,TX,1970-08,278.17,81,3.43
MONUMENT REHABILITATION AND NURSING CENTER,TX,1970-08,168.21,49,3.43
HERITAGE GARDENS REHABILITATION AND HEALTHCARE,TX,1970-08,235.78,69,3.42
WHISPERING SPRINGS REHABILITATION AND HEALTHCARE C,TX,1970-08,143.53,42,3.42
LAKESIDE NURSING AND REHABILITATION CENTER,TX,1970-08,356.06,104,3.42
THRIVE REHABILITATION OF PEARLAND,TX,1970-08,89.04,26,3.42
THE MEADOWS HEALTH AND REHABILITATION CENTER,TX,1970-08,287.47,84,3.42
MISSION NURSING & REHABILITATION CENTER,TX,1970-08,317.65,93,3.42
LAMPSTAND NURSING AND REHABILITATION,TX,1970-08,287.37,84,3.42
CARADAY OF MOUNT VERNON,TX,1970-08,109.25,32,3.41
WATERSIDE NURSING & REHABILITATION,TX,1970-08,269.51,79,3.41
BARTON VALLEY REHABILITATION AND HEALTHCARE CENTE,TX,1970-08,310.53,91,3.41
THE HEIGHTS OF ALAMO,TX,1970-08,323.75,95,3.41
MESQUITE TREE NURSING CENTER,TX,1970-08,265.2,78,3.4
TERRELL HEALTHCARE CENTER,TX,1970-08,197.44,58,3.4
ESTATES HEALTHCARE AND REHABILITATION CENTER,TX,1970-08,251.43,74,3.4
LAKE JACKSON HEALTHCARE CENTER,TX,1970-08,136.16,40,3.4
DEERBROOK SKILLED NURSING AND REHAB CENTER,TX,1970-08,298.65,88,3.39
GOOD SAMARITAN SOCIETY -- LAKE FOREST VILLAGE,TX,1970-08,145.71,43,3.39
MERIDIAN CARE OF ALICE,TX,1970-08,434.5,128,3.39
BIRCHWOOD OF BEEVILLE,TX,1970-08,226.38,67,3.38
COLONIAL MANOR NURSING CENTER,TX,1970-08,284.1,84,3.38
WOODLAND PARK NURSING & REHAB,TX,1970-08,152.21,45,3.38
REGENT CARE CENTER OF THE WOODLANDS,TX,1970-08,317.25,94,3.38
ST GILES NURSING AND REHABILITATION CENTER,TX,1970-08,310.84,92,3.38
ALTA VISTA REHABILITATION AND HEALTHCARE,TX,1970-08,270.77,80,3.38
THE SHOAL,TX,1970-08,338.16,100,3.38
MOUNTAIN VILLA NURSING CENTER,TX,1970-08,145.5,43,3.38
MAVERICK NURSING AND REHABILITATION CENTER,TX,1970-08,303.4,90,3.37
BROWNFIELD REHABILITATION AND CARE CENTER,TX,1970-08,87.58,26,3.37
REGENT CARE CENTER OF LEAGUE CITY,TX,1970-08,421,125,3.37
SUNRISE NURSING & REHAB CENTER,TX,1970-08,282.89,84,3.37
LAS PALMAS,TX,1970-08,155.19,46,3.37
BRIDGECREST REHABILITATION SUITES,TX,1970-08,272.84,81,3.37
SAN SABA  NURSING & REHABILITATION,TX,1970-08,124.53,37,3.37
EMERALD HILLS REHABILITATION AND HEALTHCARE CENTER,TX,1970-08,333.11,99,3.36
BRIARCLIFF HEALTH CENTER OF GREENVILLE,TX,1970-08,285.47,85,3.36
BRIDGEPORT MEDICAL LODGE,TX,1970-08,346.18,103,3.36
WOODLANDS PLACE REHABILITATION SUITES,TX,1970-08,326.13,97,3.36
FREDERICKSBURG NURSING AND REHABILITATION LP,TX,1970-08,114.14,34,3.36
WESTON INN NUSRING AND REHABILITATION,TX,1970-08,289.33,86,3.36
MATAGORDA NURSING & REHABILITATION CENTER,TX,1970-08,164.77,49,3.36
CLEVELAND HEALTH CARE CENTER,TX,1970-08,268.75,80,3.36
CASCADES AT GALVESTON,TX,1970-08,211.95,63,3.36
THE MEDICAL LODGE OF AMARILLO,TX,1970-08,222.06,66,3.36
WHITE SETTLEMENT NURSING CENTER,TX,1970-08,307.93,92,3.35
SUNDANCE INN HEALTH CENTER,TX,1970-08,338.6,101,3.35
LANDMARK OF AMARILLO REHABILITATION AND NURSING CE,TX,1970-08,247.58,74,3.35
THE LODGE OF SAGINAW HEALTH AND WELLNESS,TX,1970-08,361.8,108,3.35
LUBBOCK HOSPITALITY NURSING AND REHABILITATION CEN,TX,1970-08,248.09,74,3.35
INTERLOCHEN HEALTH AND REHABILITATION CENTER,TX,1970-08,273.54,82,3.34
FOCUSED CARE AT CRANE,TX,1970-08,227.02,68,3.34
OAK VILLAGE HEALTHCARE,TX,1970-08,153.7,46,3.34
RIDGEVIEW REHABILITATION AND SKILLED NURSING,TX,1970-08,250.69,75,3.34
MISTY WILLOW HEALTHCARE AND REHABILITATION CENTER,TX,1970-08,331.02,99,3.34
WHISPERING PINES LODGE,TX,1970-08,263.95,79,3.34
SAN MARCOS REHABILITATION AND HEALTHCARE CENTER,TX,1970-08,334.46,100,3.34
SILVER TREE NURSING AND REHABILITATION CENTER,TX,1970-08,264.12,79,3.34
MULLICAN CARE CENTER,TX,1970-08,126.41,38,3.33
PITTSBURG NURSING CENTER,TX,1970-08,149.77,45,3.33
MCLEAN CARE CENTER,TX,1970-08,80.02,24,3.33
CHEYENNE MEDICAL LODGE,TX,1970-08,395.75,119,3.33
MYSTIC PARK NURSING & REHABILITATION CENTER,TX,1970-08,345.88,104,3.33
THE LEV ATTOWN PARK,TX,1970-08,269.8,81,3.33
GOOD SAMARITAN SOCIETY--WHITE ACRES,TX,1970-08,193.18,58,3.33
ELKHART OAKS CARE CENTER,TX,1970-08,172.98,52,3.33
OASIS NURSING & REHABILITATION CENTER,TX,1970-08,293.26,88,3.33
PARADIGM AT WESTBURY,TX,1970-08,392.75,118,3.33
COMMUNITY CARE CENTER OF HONDO,TX,1970-08,180,54,3.33
HERITAGE CONVALESCENT CENTER,TX,1970-08,225.98,68,3.32
THE REHAB SUITES AT MAGNOLIA CROSSING,TX,1970-08,322.25,97,3.32
SOUTHERN SPECIALTY REHAB & NURSING,TX,1970-08,252.58,76,3.32
SPINDLETOP HILL NURSING & REHAB CENTER,TX,1970-08,321.73,97,3.32
RIVERSIDE OAKS,TX,1970-08,259.08,78,3.32
PARIS HEALTHCARE CENTER,TX,1970-08,103.06,31,3.32
FALCON RIDGE REHABILITATION,TX,1970-08,298.56,90,3.32
HARKER HEIGHTS NURSING & REHABILITATION,TX,1970-08,451.55,136,3.32
LEGEND OAKS HEALTHCARE AND REHABILITATION CENTER -,TX,1970-08,301.2,91,3.31
EDGEWOOD REHABILITATION AND CARE CENTER,TX,1970-08,221.81,67,3.31
THE HOMESTEAD OF SHERMAN,TX,1970-08,221.7,67,3.31
WOODLAND SPRINGS NURSING CENTER,TX,1970-08,274.56,83,3.31
WINDSOR HOUSTON,TX,1970-08,330.95,100,3.31
TWIN OAKS HEALTH AND REHABILITATION CENTER,TX,1970-08,238.01,72,3.31
JEFFREY PLACE HEALTHCARE CENTER,TX,1970-08,270.97,82,3.3
LEGEND OAKS HEALTHCARE AND REHABILITATION GARLAND,TX,1970-08,260.83,79,3.3
VIDOR HEALTH & REHABILITATION CENTER,TX,1970-08,270.91,82,3.3
THE ATRIUM REHABILITATION CENTER,TX,1970-08,105.52,32,3.3
SPANISH MEADOWS,TX,1970-08,320.53,97,3.3
LOS ARCOS DEL NORTE CARE CENTER,TX,1970-08,224.56,68,3.3
HAYS NURSING AND REHABILITATION CENTER,TX,1970-08,283.87,86,3.3
SETTLERS RIDGE CARE CENTER,TX,1970-08,322.54,98,3.29
GARNET HILL REHABILITATION AND SKILLED CARE,TX,1970-08,361.76,110,3.29
HOMESTEAD NURSING AND REHABILITATION OF BAIRD,TX,1970-08,98.75,30,3.29
MID VALLEY NURSING & REHABILITATION,TX,1970-08,302.25,92,3.29
CASTLE HILLS REHABILITATION AND CARE CENTER,TX,1970-08,154.75,47,3.29
FOCUSED CARE AT ORANGE,TX,1970-08,348.8,106,3.29
DENISON NURSING AND REHAB,TX,1970-08,72.42,22,3.29
THE RIO AT MISSION TRAILS,TX,1970-08,252.62,77,3.28
BRIGHTPOINTE AT LYTLE LAKE,TX,1970-08,308.16,94,3.28
ROWLETT HEALTH AND REHABILITATION CENTER,TX,1970-08,397.35,121,3.28
PARADIGM AT THE OAK,TX,1970-08,212.9,65,3.28
EDINBURG NURSING AND REHABILITATION CENTER,TX,1970-08,301.45,92,3.28
LEGACY AT JACKSONVILLE,TX,1970-08,242.58,74,3.28
MORNINGSIDE MANOR,TX,1970-08,239.33,73,3.28
FORTRESS NURSING AND REHABILITATION,TX,1970-08,203.27,62,3.28
POST NURSING & REHAB CENTER,TX,1970-08,114.72,35,3.28
ROSEWOOD REHABILITATION AND CARE CENTER,TX,1970-08,193.36,59,3.28
LEGACY REHABILITATION AND LIVING,TX,1970-08,334.74,102,3.28
PARK MANOR OF WESTCHASE,TX,1970-08,304.05,93,3.27
THE LAURENWOOD NURSING AND REHABILITATION,TX,1970-08,232.25,71,3.27
KEMP CARE CENTER,TX,1970-08,199.4,61,3.27
GOLDEN ESTATES REHABILITATION CENTER,TX,1970-08,221.5,68,3.26
TEXAN NURSING & REHAB OF GONZALES,TX,1970-08,143.65,44,3.26
BRENTWOOD PLACE FOUR,TX,1970-08,260.44,80,3.26
KNOPP HEALTHCARE AND REHAB CENTER INC,TX,1970-08,146.81,45,3.26
IMMANUEL'S HEALTHCARE,TX,1970-08,176,54,3.26
SAGEBROOK NURSING AND REHABILITATION,TX,1970-08,283.25,87,3.26
MI CASITA NURSING AND REHABILITATION CENTER,TX,1970-08,149.89,46,3.26
BEAUMONT HEALTH CARE CENTER,TX,1970-08,182.75,56,3.26
SOUTHEAST NURSING & REHABILITATION CENTER,TX,1970-08,254.31,78,3.26
NORTHGATE HEALTH AND REHABILITATION CENTER,TX,1970-08,185.59,57,3.26
PARADIGM AT THE BRAZOS,TX,1970-08,120.5,37,3.26
WEST OAKS NURSING & REHAB CENTER,TX,1970-08,360.5,111,3.25
VAN HEALTHCARE,TX,1970-08,123.33,38,3.25
THE LENNWOOD NURSING AND REHABILITATION,TX,1970-08,224.23,69,3.25
BEDFORD WELLNESS & REHABILITATION,TX,1970-08,435.96,134,3.25
COMFORT NURSING AND REHABILITATION CENTER,TX,1970-08,100.79,31,3.25
HILLTOP VILLAGE NURSING AND REHABILITATION,TX,1970-08,379.74,117,3.25
DOGWOOD TRAILS MANOR,TX,1970-08,182.21,56,3.25
LAS COLINAS OF WESTOVER,TX,1970-08,354.27,109,3.25
"DESOTO LTC PARTNERS, INC",TX,1970-08,240.65,74,3.25
TOWN HALL ESTATES,TX,1970-08,174.78,54,3.24
LEGACY NURSING AND REHABILITATION,TX,1970-08,330.1,102,3.24
BAY RIDGE HEALTHCARE CENTER,TX,1970-08,123.12,38,3.24
SKILLED CARE OF MEXIA,TX,1970-08,181.23,56,3.24
BEAR CREEK NURSING AND REHABILITATION,TX,1970-08,216.96,67,3.24
KILLEEN NURSING & REHABILITATION,TX,1970-08,294.6,91,3.24
SULPHUR SPRINGS HEALTH AND REHABILITATION,TX,1970-08,184.57,57,3.24
HUEBNER CREEK HEALTH & REHABILITATION CENTER,TX,1970-08,204.24,63,3.24
